#    time = 2.343750,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   0.5235988   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   1.0471976   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   1.5707963   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   2.0943951   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   2.6179939   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   3.1415927   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   3.6651914   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   4.1887902   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   4.7123890   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   5.2359878   -1.4810155688e-07   -2.1617165348e-07
   0.0000000   5.7595865   -1.4810155688e-07   -2.1617165348e-07
   0.1745329   0.0000000    3.3114379056e-07    1.4701505281e-09
   0.1745329   0.5235988    2.1031610028e-07    3.5030348257e-07
   0.1745329   1.0471976   -2.3402420913e-07    4.0828684111e-07
   0.1745329   1.5707963   -4.9559833657e-07   -6.4126766999e-10
   0.1745329   2.0943951   -2.3453948355e-07   -4.1001347045e-07
   0.1745329   2.6179939    2.1069980163e-07   -3.4967284514e-07
   0.1745329   3.1415927    3.3141955026e-07   -1.1436315977e-09
   0.1745329   3.6651914    1.4302586129e-07    2.3396864113e-07
   0.1745329   4.1887902   -1.1816120399e-07    2.0669813713e-07
   0.1745329   4.7123890   -2.2251239847e-07    3.7880414193e-10
   0.1745329   5.2359878   -1.1787349950e-07   -2.0557450119e-07
   0.1745329   5.7595865    1.4286803874e-07   -2.3422285824e-07
   0.3490659   0.0000000    3.3259237862e-07    1.3822019961e-10
   0.3490659   0.5235988    2.6956935115e-07    4.1421468988e-07
   0.3490659   1.0471976   -3.0277248491e-07    5.9765117826e-07
   0.3490659   1.5707963   -7.5231861014e-07   -8.1135133655e-11
   0.3490659   2.0943951   -3.0303487897e-07   -5.9736042764e-07
   0.3490659   2.6179939    2.6952362919e-07   -4.1418104914e-07
   0.3490659   3.1415927    3.3259385952e-07   -1.3673677726e-10
   0.3490659   3.6651914    1.2260019025e-07    1.8843824932e-07
   0.3490659   4.1887902   -7.5583768071e-08    1.4886212277e-07
   0.3490659   4.7123890   -1.4893207454e-07    1.5257200277e-11
   0.3490659   5.2359878   -7.5523226444e-08   -1.4893148944e-07
   0.3490659   5.7595865    1.2262093381e-07   -1.8845291663e-07
   0.5235988   0.0000000    3.3267352174e-07    2.8440028542e-11
   0.5235988   0.5235988    3.5856106285e-07    4.7806730395e-07
   0.5235988   1.0471976   -3.6932304955e-07    8.8571407836e-07
   0.5235988   1.5707963   -1.1622840944e-06   -3.0103338765e-11
   0.5235988   2.0943951   -3.6920396794e-07   -8.8578418605e-07
   0.5235988   2.6179939    3.5855177028e-07   -4.7804227149e-07
   0.5235988   3.1415927    3.3267355104e-07   -2.8451277763e-11
   0.5235988   3.6651914    1.1200521901e-07    1.4930779027e-07
   0.5235988   4.1887902   -4.5291363417e-08    1.0859418656e-07
   0.5235988   4.7123890   -9.7555043856e-08    1.9694839373e-12
   0.5235988   5.2359878   -4.5302953757e-08   -1.0858665270e-07
   0.5235988   5.7595865    1.1200782992e-07   -1.4931470004e-07
   0.6981317   0.0000000    3.3268084897e-07    3.1172380340e-12
   0.6981317   0.5235988    4.8032807746e-07    5.2816444468e-07
   0.6981317   1.0471976   -3.8108766644e-07    1.3289512434e-06
   0.6981317   1.5707963   -1.8467674968e-06   -2.6247508071e-11
   0.6981317   2.0943951   -3.8107720699e-07   -1.3289746165e-06
   0.6981317   2.6179939    4.8032823399e-07   -5.2816006622e-07
   0.6981317   3.1415927    3.3268095550e-07   -3.1097496487e-12
   0.6981317   3.6651914    1.0554392312e-07    1.1606776804e-07
   0.6981317   4.1887902   -2.2692981618e-08    7.9109495445e-08
   0.6981317   4.7123890   -6.1648234937e-08    4.8508901975e-13
   0.6981317   5.2359878   -2.2693237496e-08   -7.9108616558e-08
   0.6981317   5.7595865    1.0554389916e-07   -1.1606847964e-07
   0.8726646   0.0000000    3.3267874328e-07   -5.7809251192e-12
   0.8726646   0.5235988    6.3508948919e-07    5.4661931057e-07
   0.8726646   1.0471976   -2.1322634453e-07    1.9798223576e-06
   0.8726646   1.5707963   -3.0364649980e-06   -4.4957189109e-11
   0.8726646   2.0943951   -2.1323712135e-07   -1.9798443986e-06
   0.8726646   2.6179939    6.3507611676e-07   -5.4660615129e-07
   0.8726646   3.1415927    3.3267827278e-07    5.7786494261e-12
   0.8726646   3.6651914    1.0172348364e-07    8.7570690549e-08
   0.8726646   4.1887902   -6.1213452038e-09    5.6787892519e-08
   0.8726646   4.7123890   -3.6593507919e-08    1.6940151687e-13
   0.8726646   5.2359878   -6.1210839701e-09   -5.6787738130e-08
   0.8726646   5.7595865    1.0172437208e-07   -8.7572115546e-08
   1.0471976   0.0000000    3.3267518236e-07   -8.6059778751e-12
   1.0471976   0.5235988    8.1200062002e-07    5.1135520666e-07
   1.0471976   1.0471976    4.0409138263e-07    2.7968258991e-06
   1.0471976   1.5707963   -5.1402932577e-06    5.7279823757e-12
   1.0471976   2.0943951    4.0323054580e-07   -2.7963513197e-06
   1.0471976   2.6179939    8.1202710477e-07   -5.1136534004e-07
   1.0471976   3.1415927    3.3267584482e-07    8.6075846551e-12
   1.0471976   3.6651914    9.9529310437e-08    6.2695841039e-08
   1.0471976   4.1887902    5.6531747439e-09    3.9187657475e-08
   1.0471976   4.7123890   -1.9436594321e-08    7.2779107781e-14
   1.0471976   5.2359878    5.6527448837e-09   -3.9187426823e-08
   1.0471976   5.7595865    9.9528383655e-08   -6.2694838211e-08
   1.2217305   0.0000000    3.3267232958e-07   -7.8287704861e-12
