#   time = 10.546875,       r = 80.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   0.5235988   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   1.0471976   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   1.5707963   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   2.0943951   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   2.6179939   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   3.1415927   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   3.6651914   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   4.1887902   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   4.7123890   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   5.2359878   -1.4784127828e-07   -2.1579854558e-07
   0.0000000   5.7595865   -1.4784127828e-07   -2.1579854558e-07
   0.1745329   0.0000000    3.3058362956e-07    1.4669642509e-09
   0.1745329   0.5235988    2.0992897073e-07    3.4963076855e-07
   0.1745329   1.0471976   -2.3351875195e-07    4.0743918737e-07
   0.1745329   1.5707963   -4.9451723053e-07   -6.3971303509e-10
   0.1745329   2.0943951   -2.3403289581e-07   -4.0916209958e-07
   0.1745329   2.6179939    2.1031184513e-07   -3.4900136672e-07
   0.1745329   3.1415927    3.3085889442e-07   -1.1410755927e-09
   0.1745329   3.6651914    1.4281119083e-07    2.3360278067e-07
   0.1745329   4.1887902   -1.1798008940e-07    2.0639759158e-07
   0.1745329   4.7123890   -2.2218983984e-07    3.7825289968e-10
   0.1745329   5.2359878   -1.1769292048e-07   -2.0527573404e-07
   0.1745329   5.7595865    1.4265361790e-07   -2.3385656891e-07
   0.3490659   0.0000000    3.3203017170e-07    1.3805190994e-10
   0.3490659   0.5235988    2.6900414397e-07    4.1331530568e-07
   0.3490659   1.0471976   -3.0193574033e-07    5.9605815974e-07
   0.3490659   1.5707963   -7.5010075859e-07   -8.0822158744e-11
   0.3490659   2.0943951   -3.0219718227e-07   -5.9576844968e-07
   0.3490659   2.6179939    2.6895855694e-07   -4.1328177423e-07
   0.3490659   3.1415927    3.3203164923e-07   -1.3657261367e-10
   0.3490659   3.6651914    1.2243200918e-07    1.8816714150e-07
   0.3490659   4.1887902   -7.5480686945e-08    1.4867093766e-07
   0.3490659   4.7123890   -1.4874267310e-07    1.5233341882e-11
   0.3490659   5.2359878   -7.5420245286e-08   -1.4874018920e-07
   0.3490659   5.7595865    1.2245271398e-07   -1.8818177918e-07
   0.5235988   0.0000000    3.3211140044e-07    2.8561508066e-11
   0.5235988   0.5235988    3.5769787486e-07    4.7688299272e-07
   0.5235988   1.0471976   -3.6794726044e-07    8.8253256211e-07
   0.5235988   1.5707963   -1.1572783748e-06   -2.9876479762e-11
   0.5235988   2.0943951   -3.6782902024e-07   -8.8260229612e-07
   0.5235988   2.6179939    3.5768863340e-07   -4.7685808580e-07
   0.5235988   3.1415927    3.3211142828e-07   -2.8572774582e-11
   0.5235988   3.6651914    1.1186135670e-07    1.4910706011e-07
   0.5235988   4.1887902   -4.5234236862e-08    1.0846706753e-07
   0.5235988   4.7123890   -9.7442352704e-08    1.9660244557e-12
   0.5235988   5.2359878   -4.5245804216e-08   -1.0845954713e-07
   0.5235988   5.7595865    1.1186396156e-07   -1.4911395324e-07
   0.6981317   0.0000000    3.3211888483e-07    3.2278899713e-12
   0.6981317   0.5235988    4.7899737004e-07    5.2666615078e-07
   0.6981317   1.0471976   -3.7907166758e-07    1.3222175301e-06
   0.6981317   1.5707963   -1.8341335849e-06   -2.5853548113e-11
   0.6981317   2.0943951   -3.7906147150e-07   -1.3222405162e-06
   0.6981317   2.6179939    4.7899753690e-07   -5.2666181899e-07
   0.6981317   3.1415927    3.3211898620e-07   -3.2204253493e-12
   0.6981317   3.6651914    1.0541517993e-07    1.1592007953e-07
   0.6981317   4.1887902   -2.2665382989e-08    7.9023086869e-08
   0.6981317   4.7123890   -6.1581849196e-08    4.8412363462e-13
   0.6981317   5.2359878   -2.2665638151e-08   -7.9022209900e-08
   0.6981317   5.7595865    1.0541515628e-07   -1.1592078887e-07
   0.8726646   0.0000000    3.3211681842e-07   -5.7736795034e-12
   0.8726646   0.5235988    6.3307477131e-07    5.4485026393e-07
   0.8726646   1.0471976   -2.1146624800e-07    1.9652083807e-06
   0.8726646   1.5707963   -3.0008619624e-06   -4.3795423284e-11
   0.8726646   2.0943951   -2.1149359834e-07   -1.9652087732e-06
   0.8726646   2.6179939    6.3306163886e-07   -5.4483717307e-07
   0.8726646   3.1415927    3.3211635793e-07    5.7714013934e-12
   0.8726646   3.6651914    1.0160418302e-07    8.7463951675e-08
   0.8726646   4.1887902   -6.1130671544e-09    5.6728957049e-08
   0.8726646   4.7123890   -3.6555929029e-08    1.6903059466e-13
   0.8726646   5.2359878   -6.1128065129e-09   -5.6728803174e-08
   0.8726646   5.7595865    1.0160506666e-07   -8.7465371768e-08
   1.0471976   0.0000000    3.3211316665e-07   -8.6840485091e-12
   1.0471976   0.5235988    8.0909256105e-07    5.0949102712e-07
   1.0471976   1.0471976    3.9940793968e-07    2.7660540767e-06
   1.0471976   1.5707963   -5.0268834721e-06   -1.2890939858e-10
   1.0471976   2.0943951    3.9956784582e-07   -2.7661339975e-06
   1.0471976   2.6179939    8.0911844594e-07   -5.0950117031e-07
   1.0471976   3.1415927    3.3211381683e-07    8.6856969556e-12
   1.0471976   3.6651914    9.9415893311e-08    6.2621825121e-08
   1.0471976   4.1887902    5.6487836608e-09    3.9148093819e-08
   1.0471976   4.7123890   -1.9418764883e-08    7.2616773371e-14
   1.0471976   5.2359878    5.6483550955e-09   -3.9147863537e-08
   1.0471976   5.7595865    9.9414972862e-08   -6.2620825587e-08
   1.2217305   0.0000000    3.3211018555e-07   -7.9218461947e-12
   1.2217305   0.5235988    9.8080271371e-07    4.0297744372e-07
   1.2217305   1.0471976    1.8142882721e-06    3.3102710362e-06
   1.2217305   1.5707963   -7.9653895383e-06   -3.1649823811e-10
   1.2217305   2.0943951    1.8145349875e-06   -3.3102293467e-06
   1.2217305   2.6179939    9.8083745914e-07   -4.0298020299e-07
   1.2217305   3.1415927    3.3210993777e-07    7.9216941032e-12
   1.2217305   3.6651914    9.8215325392e-08    4.0365553875e-08
   1.2217305   4.1887902    1.3478144906e-08    2.4606179757e-08
   1.2217305   4.7123890   -8.2837271355e-09    3.3724175351e-14
   1.2217305   5.2359878    1.3478030834e-08   -2.4606227554e-08
   1.2217305   5.7595865    9.8214600785e-08   -4.0364958456e-08
   1.3962634   0.0000000    3.3210804088e-07   -4.6330139148e-12
   1.3962634   0.5235988    1.1093530296e-06    2.2462632811e-07
   1.3962634   1.0471976    3.8870270015e-06    2.5689401835e-06
   1.3962634   1.5707963   -7.9056574676e-06    1.5297047638e-08
   1.3962634   2.0943951    3.8868995023e-06   -2.5685277406e-06
   1.3962634   2.6179939    1.1093554791e-06   -2.2462514465e-07
   1.3962634   3.1415927    3.3210877931e-07    4.6334031920e-12
   1.3962634   3.6651914    9.7627819398e-08    1.9776433838e-08
   1.3962634   4.1887902    1.7957765854e-08    1.1878493576e-08
   1.3962634   4.7123890   -2.0243344452e-09    1.3791894137e-14
   1.3962634   5.2359878    1.7957623487e-08   -1.1878458403e-08
   1.3962634   5.7595865    9.7627746313e-08   -1.9776432831e-08
   1.5707963   0.0000000    3.3210761391e-07    2.5619598096e-17
   1.5707963   0.5235988    1.1573755345e-06   -7.7619412076e-13
   1.5707963   1.0471976    5.0277728821e-06   -6.4135425855e-11
   1.5707963   1.5707963   -1.2629968900e-09    3.7993871284e-08
   1.5707963   2.0943951    5.0275373693e-06    6.4705221401e-11
   1.5707963   2.6179939    1.1573964547e-06    7.7598428252e-13
   1.5707963   3.1415927    3.3210715853e-07   -1.7491356858e-17
   1.5707963   3.6651914    9.7452600809e-08   -2.0137358213e-14
   1.5707963   4.1887902    1.9416793158e-08   -1.0336594943e-14
   1.5707963   4.7123890   -1.5596997265e-12   -2.1136519134e-18
   1.5707963   5.2359878    1.9416833343e-08    1.0337492554e-14
   1.5707963   5.7595865    9.7452320434e-08    2.0139683434e-14
   1.7453293   0.0000000    3.3210785407e-07    4.6329334126e-12
   1.7453293   0.5235988    1.1093497586e-06   -2.2462335327e-07
   1.7453293   1.0471976    3.8868929777e-06   -2.5687460204e-06
   1.7453293   1.5707963   -7.9643026773e-06   -9.8908249303e-09
   1.7453293   2.0943951    3.8868138170e-06    2.5683122665e-06
   1.7453293   2.6179939    1.1093522082e-06    2.2462217106e-07
   1.7453293   3.1415927    3.3210859244e-07   -4.6333222546e-12
   1.7453293   3.6651914    9.7627731896e-08   -1.9776353156e-08
   1.7453293   4.1887902    1.7957656936e-08   -1.1878451988e-08
   1.7453293   4.7123890   -2.0244519791e-09   -1.3793243014e-14
   1.7453293   5.2359878    1.7957514557e-08    1.1878416810e-08
   1.7453293   5.7595865    9.7627658798e-08    1.9776352147e-08
   1.9198622   0.0000000    3.3210995872e-07    7.9215756240e-12
   1.9198622   0.5235988    9.8080489718e-07   -4.0296681829e-07
   1.9198622   1.0471976    1.8147262798e-06   -3.3100235046e-06
   1.9198622   1.5707963   -7.9674396632e-06    3.7913482601e-10
   1.9198622   2.0943951    1.8148216833e-06    3.3100844021e-06
